id,name,chain_label,status_label,reported_at,confirms,onsite,packs,address,lat,lng,is_hot
p_RIBHZ84wi-mE,セブン-イレブン 大阪巽南３丁目店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-24 05:08:18,1,False,30th Anniversary,日本、〒544-0015 大阪府大阪市生野区巽南３丁目３−１２,34.6402388,135.5494055,True
p_RbgBuyK2hVmc,セブン-イレブン 茨木鮎川１丁目店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-24 03:35:56,1,True,Stellar Emerald (ストエメ),日本、〒567-0831 大阪府茨木市鮎川１丁目４３−１,34.8186968,135.5920832,True
p_RissV7rNeZP4,セブン-イレブン 吹田朝日が丘店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-24 00:56:21,1,True,Stellar Emerald (ストエメ),日本、〒564-0083 大阪府吹田市朝日が丘町３１−３５,34.7735091,135.5182355,True
p_RNkpwVZvWKCQ,ローソン Ｓ ＯＳＬ淀屋橋駅北店,Lawson (ローソン),Có hàng (In Stock),2026-09-24 00:50:37,1,True,30th Anniversary,日本、〒541-0041 大阪府大阪市中央区北浜３丁目６−１４,34.6925465,135.5011402,True
p_RDq18qCD4ACY,ローソン 香里ヶ丘さくら通り店,Lawson (ローソン),Có hàng (In Stock),2026-09-23 23:38:05,1,True,Sinfonia (シンフォニア),日本、〒573-0084 大阪府枚方市香里ケ丘５丁目６−７−１,34.79327809999999,135.6498848,True
p_RDbV0oBdhpFg,セブン-イレブン 堺大阪労災病院前店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-23 23:07:25,3,False,Stellar Emerald (ストエメ),日本、〒591-8025 大阪府堺市北区長曽根町１５９４−１,34.5675845,135.5055542,True
p_R1ZnKW8urmF4,ミニストップ 寝屋川菅相塚町店,Ministop (ミニストップ),Có hàng (In Stock),2026-09-23 22:33:29,5,True,"Brave (ブレイブ), Sinfonia (シンフォニア)",日本、〒572-0008 大阪府寝屋川市菅相塚町３−１２,34.7843514,135.643739,True
p_R3Elt2fX0AdQ,セブン-イレブン 枚方バイパス店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-23 21:26:55,1,False,Stellar Emerald (ストエメ),日本、〒573-0049 大阪府枚方市山之上北町７０−２７,34.8049808,135.6495046,True
p_R0oeG3SglCCM,ローソン 泉佐野長滝店,Lawson (ローソン),Có hàng (In Stock),2026-09-23 20:21:51,3,True,"Stellar Emerald (ストエメ), Sinfonia (シンフォニア)",日本、〒598-0034 大阪府泉佐野市長滝１０４２−２,34.3813878,135.3180339,True
p_RU4exHakPB1w,セブン-イレブン ひょうたんやま北店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-23 20:14:04,1,False,,日本、〒579-8045 大阪府東大阪市本町７−２１,34.6635621,135.6401645,True
p_Ru1xx3cSzJD8,セブン-イレブン 堺深阪店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-23 19:28:52,1,False,Stellar Emerald (ストエメ),日本、〒599-8253 大阪府堺市中区深阪５丁１−５０,34.5086139,135.5060181,True
p_R8NxT4PV7gcY,セブン-イレブン 大阪築港４丁目店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-23 19:06:17,1,False,,日本、〒552-0021 大阪府大阪市港区築港４丁目９−２,34.6533016,135.4315731,True
p_RWcXZVjVkEEo,ファミリーマート 大正鶴町店,FamilyMart (ファミリーマート),Có hàng (In Stock),2026-09-23 19:01:56,1,False,,日本、〒551-0023 大阪府大阪市大正区鶴町４丁目９−２,34.643033,135.454714,True
p_RKJ3NfogepAI,セブン-イレブン 大阪三先１丁目店,7-Eleven (セブン-イレブン),Có hàng (In Stock),2026-09-23 18:59:09,1,False,,日本、〒552-0016 大阪府大阪市港区三先１丁目１−１６,34.6618447,135.4554314,True
p_RD9YsBraFrWs,ファミリーマート 戎本町店,FamilyMart (ファミリーマート),Có hàng (In Stock),2026-09-23 15:43:04,1,False,,日本、〒556-0013 大阪府大阪市浪速区戎本町１丁目６−２３,34.6546843,135.4998823,True
p_RKRph4XBfeSI,ファミリーマート 八幡屋商店街西店,FamilyMart (ファミリーマート),Có hàng (In Stock),2026-09-22 17:44:00,1,False,,日本、〒552-0014 大阪府大阪市港区八幡屋１丁目１５−８,34.6573018,135.4450513,False
p_R7LqtjygZp1w,ローソン 阿倍野北畠一丁目店,Lawson (ローソン),Có hàng (In Stock),2026-09-22 11:33:28,1,False,,日本、〒545-0035 大阪府大阪市阿倍野区北畠１丁目１３−５,34.6250091,135.5084065,False
p_Ri8qzuQMWeq8,ファミリーマート 堺中之町東店,FamilyMart (ファミリーマート),Có hàng (In Stock),2026-09-22 09:20:09,1,False,,日本、〒590-0956 大阪府堺市堺区中之町東１丁１−２１,34.5740629,135.4702577,False
